country,year,tfr,estimate_method,subgroup,bloc
Russia,2019,1.504,Interpolation,Eastern European,Rest of post-Soviet
Russia,2020,1.505,Interpolation,Eastern European,Rest of post-Soviet
Russia,2021,1.505,Interpolation,Eastern European,Rest of post-Soviet
Russia,2022,1.452,Interpolation,Eastern European,Rest of post-Soviet
Russia,2023,1.449,Interpolation,Eastern European,Rest of post-Soviet
Ukraine,2000,1.108471,Interpolation,Eastern European,Rest of post-Soviet
Ukraine,2001,1.09163,Interpolation,Eastern European,Rest of post-Soviet
Ukraine,2002,1.126666,Interpolation,Eastern European,Rest of post-Soviet
Ukraine,2003,1.173023,Interpolation,Eastern European,Rest of post-Soviet
Ukraine,2004,1.214726,Interpolation,Eastern European,Rest of post-Soviet
Ukraine,2005,1.220777,Interpolation,Eastern European,Rest of post-Soviet
Ukraine,2006,1.296785,Interpolation,Eastern European,Rest of post-Soviet
Ukraine,2007,1.342733,Interpolation,Eastern European,Rest of post-Soviet
Ukraine,2008,1.444171,Interpolation,Eastern European,Rest of post-Soviet
Ukraine,2009,1.469502,Interpolation,Eastern European,Rest of post-Soviet
Ukraine,2010,1.436126,Interpolation,Eastern European,Rest of post-Soviet
Ukraine,2011,1.464018,Interpolation,Eastern European,Rest of post-Soviet
Ukraine,2012,1.528347,Interpolation,Eastern European,Rest of post-Soviet
Ukraine,2013,1.515169,Interpolation,Eastern European,Rest of post-Soviet
Ukraine,2014,1.466096,Interpolation,Eastern European,Rest of post-Soviet
Ukraine,2015,1.386783,Interpolation,Eastern European,Rest of post-Soviet
Ukraine,2016,1.391451,Interpolation,Eastern European,Rest of post-Soviet
Ukraine,2017,1.299933,Interpolation,Eastern European,Rest of post-Soviet
Ukraine,2018,1.233007,Interpolation,Eastern European,Rest of post-Soviet
Ukraine,2019,1.217631,Interpolation,Eastern European,Rest of post-Soviet
Ukraine,2020,1.208113,Interpolation,Eastern European,Rest of post-Soviet
Ukraine,2021,1.147523,Projection,Eastern European,Rest of post-Soviet
Ukraine,2022,0.897,Projection,Eastern European,Rest of post-Soviet
Ukraine,2023,0.977,Projection,Eastern European,Rest of post-Soviet
