IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",51,"Armenia","AM","ARM",71,"2020",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.619121
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",51,"Armenia","AM","ARM",72,"2021",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.7095
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",51,"Armenia","AM","ARM",73,"2022",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",1.719447
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",51,"Armenia","AM","ARM",74,"2023",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",1.713989
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",112,"Belarus","BY","BLR",51,"2000",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.272026
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",112,"Belarus","BY","BLR",52,"2001",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.241296
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",112,"Belarus","BY","BLR",53,"2002",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.202037
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",112,"Belarus","BY","BLR",54,"2003",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.191985
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",112,"Belarus","BY","BLR",55,"2004",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.195872
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",112,"Belarus","BY","BLR",56,"2005",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.220702
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",112,"Belarus","BY","BLR",57,"2006",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.305459
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",112,"Belarus","BY","BLR",58,"2007",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.393832
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",112,"Belarus","BY","BLR",59,"2008",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.448514
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",112,"Belarus","BY","BLR",60,"2009",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.481058
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",112,"Belarus","BY","BLR",61,"2010",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.478168
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",112,"Belarus","BY","BLR",62,"2011",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.524056
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",112,"Belarus","BY","BLR",63,"2012",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.623373
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",112,"Belarus","BY","BLR",64,"2013",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.673131
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",112,"Belarus","BY","BLR",65,"2014",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.701985
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",112,"Belarus","BY","BLR",66,"2015",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.728063
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",112,"Belarus","BY","BLR",67,"2016",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.727121
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",112,"Belarus","BY","BLR",68,"2017",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.549854
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",112,"Belarus","BY","BLR",69,"2018",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.457408
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",112,"Belarus","BY","BLR",70,"2019",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.389239
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",112,"Belarus","BY","BLR",71,"2020",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",1.369058
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",112,"Belarus","BY","BLR",72,"2021",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",1.370554
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",112,"Belarus","BY","BLR",73,"2022",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",1.326413
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",112,"Belarus","BY","BLR",74,"2023",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",1.207569
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",233,"Estonia","EE","EST",51,"2000",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.347264
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",233,"Estonia","EE","EST",52,"2001",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.315406
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",233,"Estonia","EE","EST",53,"2002",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.353164
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",233,"Estonia","EE","EST",54,"2003",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.364778
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",233,"Estonia","EE","EST",55,"2004",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.464967
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",233,"Estonia","EE","EST",56,"2005",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.514667
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",233,"Estonia","EE","EST",57,"2006",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.582784
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",233,"Estonia","EE","EST",58,"2007",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.684803
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",233,"Estonia","EE","EST",59,"2008",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.718613
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",233,"Estonia","EE","EST",60,"2009",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.700792
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",233,"Estonia","EE","EST",61,"2010",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.715837
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",233,"Estonia","EE","EST",62,"2011",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.615645
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",233,"Estonia","EE","EST",63,"2012",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.561469
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",233,"Estonia","EE","EST",64,"2013",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.5239
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",233,"Estonia","EE","EST",65,"2014",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.542711
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",233,"Estonia","EE","EST",66,"2015",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.580458
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",233,"Estonia","EE","EST",67,"2016",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.603494
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",233,"Estonia","EE","EST",68,"2017",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.595724
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",233,"Estonia","EE","EST",69,"2018",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.670176
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",233,"Estonia","EE","EST",70,"2019",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.661437
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",233,"Estonia","EE","EST",71,"2020",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.587592
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",233,"Estonia","EE","EST",72,"2021",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.59408
