country,year,urban_pop_pct
Moldova,2003,39.5945358276367
Moldova,2004,39.4460945129395
Moldova,2005,39.3704032897949
Moldova,2006,39.2182388305664
Moldova,2007,39.4315032958984
Moldova,2008,39.3710708618164
Moldova,2009,39.3255348205566
Moldova,2010,39.2804946899414
Moldova,2011,39.3469161987305
Moldova,2012,39.3614196777344
Moldova,2013,39.4275512695312
Moldova,2014,39.6298484802246
Moldova,2015,39.6954040527344
Moldova,2016,39.7373237609863
Moldova,2017,39.9736557006836
Moldova,2018,40.3258094787598
Moldova,2019,40.772289276123
Moldova,2020,41.3368530273438
Moldova,2021,41.8115425109863
Moldova,2022,42.4048843383789
Moldova,2023,43.0011825561523
Russia,2000,73.1568222045898
Russia,2001,73.22998046875
Russia,2002,73.2929008030615
Russia,2003,73.4057388305664
Russia,2004,73.3065795898438
Russia,2005,73.1613922119141
Russia,2006,73.2439193725586
Russia,2007,73.3856048583984
Russia,2008,73.4822463989258
Russia,2009,73.5288696289062
Russia,2010,73.6696307887624
Russia,2011,73.8534851074219
Russia,2012,73.97265625
Russia,2013,74.0762949770228
Russia,2014,74.1776476748791
Russia,2015,74.275919065527
Russia,2016,74.3703138709243
Russia,2017,74.460036813029
Russia,2018,74.5442926137992
Russia,2019,74.6222859951926
Russia,2020,74.6932216791674
Russia,2021,74.7516840220252
Russia,2022,74.8544893625017
Russia,2023,74.9805047873279
Tajikistan,2000,26.5355104669232
Tajikistan,2001,26.5345041786379
Tajikistan,2002,26.5336513960096
Tajikistan,2003,26.5331204386766
Tajikistan,2004,26.5327772632159
Tajikistan,2005,26.5324878262051
Tajikistan,2006,26.5321180842215
Tajikistan,2007,26.5315339938424
Tajikistan,2008,26.5306015116451
Tajikistan,2009,26.529186594207
Tajikistan,2010,26.5274312963978
Tajikistan,2011,26.4792213439941
Tajikistan,2012,26.4102249145508
Tajikistan,2013,26.4883155822754
Tajikistan,2014,26.5633735656738
Tajikistan,2015,26.478832244873
Tajikistan,2016,26.3718509674072
Tajikistan,2017,26.2731513977051
Tajikistan,2018,26.2338752746582
Tajikistan,2019,26.1300735473633
Tajikistan,2020,26.1925442328719
Tajikistan,2021,26.1991525151375
Tajikistan,2022,26.1957126615618
Tajikistan,2023,26.1890127571429
Ukraine,2000,67.403857296906
Ukraine,2001,67.2749805493459
Ukraine,2002,67.2672733350904
Ukraine,2003,67.419679868405
Ukraine,2004,67.5970968423685
Ukraine,2005,67.8136046317755
Ukraine,2006,68.0293347798948
Ukraine,2007,68.2102322372037
Ukraine,2008,68.3752085755346
Ukraine,2009,68.5251442249547
Ukraine,2010,68.637397133357
Ukraine,2011,68.7234299826222
Ukraine,2012,68.8241983107739
Ukraine,2013,68.9326288082226
Ukraine,2014,69.0554339301313
Ukraine,2015,69.1587317201337
Ukraine,2016,69.2102241609089
Ukraine,2017,69.2633108489282
Ukraine,2018,69.3157992777909
Ukraine,2019,69.3527648708735
Ukraine,2020,69.3839100516745
Ukraine,2021,69.4027032653896
Ukraine,2022,69.42345912103
Ukraine,2023,69.4754455027606
Uzbekistan,2000,47.6731005044
Uzbekistan,2001,48.4901886313987
Uzbekistan,2002,49.2574592650723
Uzbekistan,2003,49.9566881481443
Uzbekistan,2004,50.5696510233382
Uzbekistan,2005,51.0781236333777
Uzbekistan,2006,51.4638817209862
Uzbekistan,2007,51.7087010288873
Uzbekistan,2008,51.7943572998047
Uzbekistan,2009,51.6105041503906
Uzbekistan,2010,51.3321647644043
Uzbekistan,2011,51.3395500183105
Uzbekistan,2012,51.3359680175781
Uzbekistan,2013,51.1276969909668
Uzbekistan,2014,50.8868713378906
Uzbekistan,2015,50.6597328186035
Uzbekistan,2016,50.6572189331055
Uzbekistan,2017,50.6787376403809
Uzbekistan,2018,50.5814971923828
Uzbekistan,2019,50.5920104980469
Uzbekistan,2020,50.7670402526855
Uzbekistan,2021,50.9269905090332
Uzbekistan,2022,50.9847412109375
Uzbekistan,2023,50.9964841114568
