country,year,gdp_per_capita_ppp
Lithuania,2015,35251.2986931775
Lithuania,2016,36618.1468417838
Lithuania,2017,38774.4892011822
Lithuania,2018,41019.7901632878
Lithuania,2019,43062.3228425315
Lithuania,2020,43091.7973723526
Lithuania,2021,45873.5273239486
Lithuania,2022,46651.2145810247
Lithuania,2023,46159.7081733083
Moldova,2000,5727.07922525352
Moldova,2001,6090.03474356112
Moldova,2002,6580.27841436838
Moldova,2003,7034.35784911687
Moldova,2004,7573.6178454751
Moldova,2005,8161.47344724765
Moldova,2006,8577.02858037286
Moldova,2007,8854.83397616724
Moldova,2008,9563.69814290939
Moldova,2009,9001.23432081622
Moldova,2010,9649.9509930271
Moldova,2011,10217.3087761255
Moldova,2012,10158.3854676883
Moldova,2013,11080.0634585341
Moldova,2014,11641.1208436577
Moldova,2015,11691.0797484184
Moldova,2016,12377.366678394
Moldova,2017,13118.8219369605
Moldova,2018,13895.5043655692
Moldova,2019,14621.2401362286
Moldova,2020,13559.2600217483
Moldova,2021,15682.0703284653
Moldova,2022,15358.0153548867
Moldova,2023,15990.4793311152
Russia,2000,20104.75
Russia,2001,21219.904296875
Russia,2002,22319.677734375
Russia,2003,24057.927734375
Russia,2004,25894.146484375
Russia,2005,27656.658203125
Russia,2006,30022.671875
Russia,2007,32630.369140625
Russia,2008,34342.2265625
Russia,2009,31654.00390625
Russia,2010,33063.5859375
Russia,2011,34444.64453125
Russia,2012,35740.69921875
Russia,2013,36260.06640625
Russia,2014,35853.24609375
Russia,2015,35037.15234375
Russia,2016,35005.44921875
Russia,2017,35570.390625
Russia,2018,36536.6953125
Russia,2019,37319.3203125
Russia,2020,36376.3359375
Russia,2021,38638.4296875
Russia,2022,38214.49609375
Russia,2023,39887.33984375
Tajikistan,2000,1365.23327447129
Tajikistan,2001,1467.39882474638
Tajikistan,2002,1594.93890470219
Tajikistan,2003,1736.64039749855
Tajikistan,2004,1878.28696227255
Tajikistan,2005,1965.30020458256
Tajikistan,2006,2063.288508243
Tajikistan,2007,2181.89798056536
Tajikistan,2008,2308.09430040334
Tajikistan,2009,2349.50030269416
Tajikistan,2010,2449.27358745359
Tajikistan,2011,2572.48074895498
Tajikistan,2012,2700.09546037358
Tajikistan,2013,2828.38542075147
Tajikistan,2014,2943.08867917317
Tajikistan,2015,3041.44479553257
Tajikistan,2016,3169.9667820524
Tajikistan,2017,3312.71202243506
Tajikistan,2018,3479.69235966041
Tajikistan,2019,3649.88375518646
Tajikistan,2020,3724.7489591466
Tajikistan,2021,3985.91247611219
Tajikistan,2022,4213.75618362687
Tajikistan,2023,4472.3241378777
Ukraine,2000,10364.0625
Ukraine,2001,11379.3857421875
Ukraine,2002,12092.7890625
Ukraine,2003,13342.8798828125
Ukraine,2004,15021.06640625
Ukraine,2005,15610.5732421875
Ukraine,2006,16901.5078125
Ukraine,2007,18374.013671875
Ukraine,2008,18883.986328125
Ukraine,2009,16092.7958984375
Ukraine,2010,16811.794921875
Ukraine,2011,17783.95703125
Ukraine,2012,17848.740234375
Ukraine,2013,17889.091796875
Ukraine,2014,16978.8125
Ukraine,2015,15403.7099609375
Ukraine,2016,15856.8125
Ukraine,2017,16310.3603515625
Ukraine,2018,16978.984375
Ukraine,2019,17636.5546875
Ukraine,2020,17092.5390625
Ukraine,2021,17846.408203125
Ukraine,2022,13787.12109375
Ukraine,2023,15916.9580078125
Uzbekistan,2000,3410.65044991898
Uzbekistan,2001,3509.72863761694
Uzbekistan,2002,3604.69346202514
Uzbekistan,2003,3711.77853054423
Uzbekistan,2004,3939.53039814876
Uzbekistan,2005,4160.95512970703
Uzbekistan,2006,4413.72281227266
Uzbekistan,2007,4764.56391427529
Uzbekistan,2008,5115.64391465594
Uzbekistan,2009,5439.55068123847
Uzbekistan,2010,5760.80511957791
Uzbekistan,2011,6100.25100998284
Uzbekistan,2012,6435.56467226429
Uzbekistan,2013,6797.77494784494
Uzbekistan,2014,7145.10980664151
Uzbekistan,2015,7529.76364274179
Uzbekistan,2016,7839.97820100236
Uzbekistan,2017,8047.05375469466
Uzbekistan,2018,8348.96057873127
Uzbekistan,2019,8755.12593984949
Uzbekistan,2020,8727.41104939223
Uzbekistan,2021,9247.64382703929
Uzbekistan,2022,9607.56167273449
Uzbekistan,2023,10007.685502618
